8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20
Data Structures (CS-B),c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,Computer Organization & Assembly Language (CS-B),c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,Calculus & Analytical Geometry (Artificial Intelligence-K) ,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,Computer Organization & Assembly Language (CS-D),c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,Data Structures (CS-D),c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,,,,,,,,,,,,,,,,,,
Computer Organization & Assembly Language (CS-F),c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,Data Structures (CS-F),c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,Software Engineering in Industrial Automation,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,Marketing Management (CS-C),c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theory of Automata (A),c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,Computer Networks (A),c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,Marketing Management (CS-A),c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,Software Design and Analysis    (A),c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,Software Design and Analysis    (C),c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,,,,,,,,,,,,,,,,,,
Computer Networks (C),c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,Theory of Automata (C),c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,,,,,,,,,,,,,,,,,,,Theory of Automata (E),c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,Computer Networks (E),c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,,,,,,,,,,,,,,,,,,
Software Design and Analysis    (E),c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,Islamic Studies (CS-Y) ReSch,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,Calculus & Analytical Geometry (SE-P),c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Method (DS-B),c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,Applied Programming (DS-B),c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,Probability & Statistics (DS-B),c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,Data Science Tools and Techniques (DS-B),c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,EmpiriComputer Architecturel Software Engineering,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,,,,,,,,,,,,,,,,,,
Advanced Programmingplied Programming (DS-A),c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,Probability & Statistics (DS-A),c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,Data Science Tools and Techniques (DS-A),c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,Research Method (DS-A),c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Programming Fundamnetals (CySec-T),c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,,,,,,,,,,,,,,,,,,,Calculus & Analytical Geometry (SE-R) ,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,Calculus & Analytical Geometry (SE-Q),c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,,,,,,,,,,,,,,,,,,
English CompOperating Systemsition Lab (CS-E),c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Advanced Programming (CS-G),c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,Calculus & Analytical Geometry (SE-S),c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,English Composition (CS-G),c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Programming (CS-A) ReSch,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,Advanced Programming (CS-B),c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,Advanced Programming (CS-E),c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,,,,,,,,,,,,,,,,,,,Programming Fundamnetals (CS-E),c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,,,,,,,,,,,,,,,,,,
Islamic Studies (CS-B) ReSch,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,Islamic Studies (CS-C) ReSch,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,Advanced Programming (SE-V) ,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,Linear Algebra (DS-N) ReSch,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English CompOperating Systemsition (Artificial Intelligence-J),c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,,,,,,,,,,,,,,English Composition (CS-Z) ,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Programming Fundamnetals (CS-D) ,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IICT (SE-V) ReSch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English CompOperating Systemsition Lab (Artificial Intelligence-J1) ReSch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English CompOperating Systemsition Lab (CS-B) ReSch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
